movieId,title
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
10,GoldenEye (1995)
11,"American President, The (1995)"
14,Nixon (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995)
21,Get Shorty (1995)
22,Copycat (1995)
24,Powder (1995)
25,Leaving Las Vegas (1995)
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
31,Dangerous Minds (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
34,Babe (1995)
36,Dead Man Walking (1995)
39,Clueless (1995)
44,Mortal Kombat (1995)
45,To Die For (1995)
47,Seven (a.k.a. Se7en) (1995)
48,Pocahontas (1995)
50,"Usual Suspects, The (1995)"
52,Mighty Aphrodite (1995)
58,"Postman, The (Postino, Il) (1994)"
60,"Indian in the Cupboard, The (1995)"
62,Mr. Holland's Opus (1995)
70,From Dusk Till Dawn (1996)
79,"Juror, The (1996)"
95,Broken Arrow (1996)
104,Happy Gilmore (1996)
105,"Bridges of Madison County, The (1995)"
107,Muppet Treasure Island (1996)
110,Braveheart (1995)
111,Taxi Driver (1976)
112,Rumble in the Bronx (Hont faan kui) (1995)
135,Down Periscope (1996)
141,"Birdcage, The (1996)"
145,Bad Boys (1995)
150,Apollo 13 (1995)
151,Rob Roy (1995)
153,Batman Forever (1995)
158,Casper (1995)
160,Congo (1995)
161,Crimson Tide (1995)
162,Crumb (1994)
163,Desperado (1995)
165,Die Hard: With a Vengeance (1995)
168,First Knight (1995)
170,Hackers (1995)
172,Johnny Mnemonic (1995)
173,Judge Dredd (1995)
180,Mallrats (1995)
185,"Net, The (1995)"
186,Nine Months (1995)
193,Showgirls (1995)
194,Smoke (1995)
196,Species (1995)
198,Strange Days (1995)
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
204,Under Siege 2: Dark Territory (1995)
207,"Walk in the Clouds, A (1995)"
208,Waterworld (1995)
215,Before Sunrise (1995)
216,Billy Madison (1995)
222,Circle of Friends (1995)
223,Clerks (1994)
224,Don Juan DeMarco (1995)
225,Disclosure (1994)
230,Dolores Claiborne (1995)
231,Dumb & Dumber (Dumb and Dumber) (1994)
232,Eat Drink Man Woman (Yin shi nan nu) (1994)
235,Ed Wood (1994)
236,French Kiss (1995)
237,Forget Paris (1995)
246,Hoop Dreams (1994)
247,Heavenly Creatures (1994)
252,I.Q. (1994)
253,Interview with the Vampire: The Vampire Chronicles (1994)
256,Junior (1994)
260,Star Wars: Episode IV - A New Hope (1977)
261,Little Women (1994)
265,Like Water for Chocolate (Como agua para chocolate) (1992)
266,Legends of the Fall (1994)
272,"Madness of King George, The (1994)"
273,Mary Shelley's Frankenstein (Frankenstein) (1994)
277,Miracle on 34th Street (1994)
282,Nell (1994)
288,Natural Born Killers (1994)
292,Outbreak (1995)
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
296,Pulp Fiction (1994)
300,Quiz Show (1994)
303,"Quick and the Dead, The (1995)"
306,Three Colors: Red (Trois couleurs: Rouge) (1994)
307,Three Colors: Blue (Trois couleurs: Bleu) (1993)
308,Three Colors: White (Trzy kolory: Bialy) (1994)
315,"Specialist, The (1994)"
316,Stargate (1994)
317,"Santa Clause, The (1994)"
318,"Shawshank Redemption, The (1994)"
319,Shallow Grave (1994)
327,Tank Girl (1995)
329,Star Trek: Generations (1994)
333,Tommy Boy (1995)
337,What's Eating Gilbert Grape (1993)
339,While You Were Sleeping (1995)
342,Muriel's Wedding (1994)
344,Ace Ventura: Pet Detective (1994)
345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
348,Bullets Over Broadway (1994)
349,Clear and Present Danger (1994)
350,"Client, The (1994)"
353,"Crow, The (1994)"
355,"Flintstones, The (1994)"
356,Forrest Gump (1994)
357,Four Weddings and a Funeral (1994)
362,"Jungle Book, The (1994)"
364,"Lion King, The (1994)"
367,"Mask, The (1994)"
368,Maverick (1994)
370,Naked Gun 33 1/3: The Final Insult (1994)
372,Reality Bites (1994)
376,"River Wild, The (1994)"
377,Speed (1994)
379,Timecop (1994)
380,True Lies (1994)
382,Wolf (1994)
410,Addams Family Values (1993)
413,Airheads (1994)
420,Beverly Hills Cop III (1994)
431,Carlito's Way (1993)
432,City Slickers II: The Legend of Curly's Gold (1994)
434,Cliffhanger (1993)
435,Coneheads (1993)
440,Dave (1993)
441,Dazed and Confused (1993)
442,Demolition Man (1993)
454,"Firm, The (1993)"
455,Free Willy (1993)
457,"Fugitive, The (1993)"
466,Hot Shots! Part Deux (1993)
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
471,"Hudsucker Proxy, The (1994)"
474,In the Line of Fire (1993)
475,In the Name of the Father (1993)
480,Jurassic Park (1993)
